t soma.v(0.5)
 1500.02 -61.2362
 1500.03 -61.3996
 1500.05 -61.54
 1500.06 -61.6648
 1500.07 -61.7786
 1500.08 -61.8843
 1500.1 -62.0571
 1500.13 -62.2152
 1500.16 -62.45
 1500.2 -62.6624
 1500.27 -63.0102
 1500.33 -63.3188
 1500.4 -63.5983
 1500.47 -63.854
 1500.53 -64.0895
 1500.64 -64.4447
 1500.75 -64.7624
 1500.86 -65.0502
 1501.04 -65.4589
 1501.22 -65.8178
 1501.4 -66.1371
 1501.73 -66.6543
 1502.06 -67.0908
 1502.39 -67.4659
 1502.72 -67.7944
 1503.05 -68.0877
 1503.55 -68.4776
 1504.05 -68.8202
 1504.55 -69.1252
 1505.05 -69.3995
 1505.54 -69.6489
 1506.39 -70.0264
 1507.24 -70.357
 1508.08 -70.6491
 1508.93 -70.9088
 1509.77 -71.1413
 1511.23 -71.4901
 1512.69 -71.7847
 1514.15 -72.035
 1515.61 -72.2485
 1517.07 -72.4314
 1519.41 -72.6728
 1521.74 -72.8637
 1524.08 -73.0144
 1526.42 -73.1328
 1528.75 -73.2254
 1532.55 -73.334
 1536.35 -73.4036
 1540.15 -73.445
 1546.1 -73.471
 1552.05 -73.4665
 1558.01 -73.443
 1563.96 -73.4072
 1569.91 -73.3647
 1575.86 -73.319
 1585.23 -73.2442
 1594.6 -73.168
 1603.97 -73.092
 1613.33 -73.0174
 1622.7 -72.9449
 1636.92 -72.8397
 1651.14 -72.7403
 1673.26 -72.5961
 1695.38 -72.4638
 1717.5 -72.3419
 1756.15 -72.1485
 1794.8 -71.9785
 1833.44 -71.8237
 1872.09 -71.6791
 1910.74 -71.5469
 1949.39 -71.4253
 1988.04 -71.3094
